edge_id,parent,child,length_m,R_ohm,X_ohm,ampacity_A
155,169,170,0.0,0.0,0.0,0.016
156,147,146,0.007,5.39e-06,6.02e-06,0.13
157,147,150,0.0,0.0,0.0,0.016
158,147,149,0.0,0.0,0.0,0.02
159,155,154,0.0,0.0,0.0,0.016
160,173,176,0.011,2.1009999999999997e-05,1.1e-06,0.075
161,173,182,0.031,1.5376e-05,3.1000000000000004e-06,0.223
162,161,160,0.0,0.0,0.0,0.025
163,164,171,0.032,2.7776000000000003e-05,2.7519999999999997e-06,0.129
164,164,165,0.0,0.0,0.0,0.02
165,142,138,0.015,1.3019999999999999e-05,1.29e-06,0.129
166,128,127,0.0,0.0,0.0,0.016
167,41,43,0.0,0.0,0.0,0.02
168,167,174,0.035,3.0380000000000004e-05,3.01e-06,0.129
169,167,166,0.0,0.0,0.0,0.016
170,167,168,0.0,0.0,0.0,0.016
171,146,148,0.0,0.0,0.0,0.025
172,176,177,0.01,1.91e-05,1e-06,0.075
173,182,183,0.012,1.2e-08,1.2e-08,1.0
174,182,187,0.024,1.1904e-05,2.4000000000000003e-06,0.223
175,171,224,0.114,9.8952e-05,9.804e-06,0.129
176,171,172,0.0,0.0,0.0,0.025
177,138,133,0.026,2.2567999999999998e-05,2.236e-06,0.129
178,138,139,0.0,0.0,0.0,0.016
179,174,175,0.0,0.0,0.0,0.025
180,177,178,0.0,0.0,0.0,0.016
181,183,184,0.0,0.0,0.0,0.02
182,187,181,0.031,5.921e-05,3.1000000000000004e-06,0.075
183,187,188,0.015,1.5000000000000002e-08,1.5000000000000002e-08,1.0
184,187,203,0.022,1.0912e-05,2.2e-06,0.223
185,224,233,0.019,1.6492e-05,1.6339999999999997e-06,0.129
186,224,221,0.0,0.0,0.0,0.016
187,224,225,0.0,0.0,0.0,0.016
188,133,132,0.0,0.0,0.0,0.02
189,181,179,0.014,2.674e-05,1.4000000000000001e-06,0.075
190,188,189,0.0,0.0,0.0,0.02
191,203,200,0.026,2.5271999999999998e-05,2.5999999999999997e-06,0.118
192,203,237,0.039,1.9344e-05,3.9e-06,0.223
193,203,204,0.012,1.2e-08,1.2e-08,1.0
194,233,234,0.0,0.0,0.0,0.025
195,225,248,0.066,0.00012078,6.402000000000001e-06,0.077
196,179,180,0.0,0.0,0.0,0.016
197,200,196,0.013,2.4829999999999998e-05,1.2999999999999998e-06,0.075
198,200,211,0.025,2.43e-05,2.5000000000000006e-06,0.118
199,237,235,0.021,9.303e-06,1.5119999999999999e-06,0.196
200,237,240,0.027,1.3392e-05,2.7e-06,0.223
201,204,205,0.0,0.0,0.0,0.025
202,196,195,0.0,0.0,0.0,0.025
203,211,215,0.039,3.7908e-05,3.9e-06,0.118
204,211,210,0.014,2.674e-05,1.4000000000000001e-06,0.075
205,235,238,0.016,1.3888000000000002e-05,1.3280000000000002e-06,0.123
206,235,236,0.0,0.0,0.0,0.035
207,240,243,0.031,3.0132e-05,3.1000000000000004e-06,0.118
208,240,241,0.012,1.2e-08,1.2e-08,1.0
209,215,190,0.023,4.3929999999999994e-05,2.3e-06,0.075
210,215,212,0.013,1.2999999999999999e-08,1.2999999999999999e-08,1.0
211,215,213,0.032,3.1104e-05,3.2000000000000003e-06,0.118
212,210,208,0.0,0.0,0.0,0.016
213,238,239,0.0,0.0,0.0,0.02
214,243,244,0.012,1.2e-08,1.2e-08,1.0
215,241,242,0.0,0.0,0.0,0.02
216,190,192,0.011,3.388e-05,1.1e-06,0.059
217,212,214,0.0,0.0,0.0,0.025
218,213,219,0.022,2.1383999999999997e-05,2.2e-06,0.118
219,213,249,0.066,0.000141174,6.600000000000001e-06,0.098
220,213,229,0.016,5.1200000000000004e-05,1.44e-06,0.058
221,213,209,0.007,2.2400000000000002e-05,6.3e-07,0.058
222,244,245,0.0,0.0,0.0,0.02
223,192,201,0.018,1.5623999999999998e-05,1.3139999999999998e-06,0.135
224,219,216,0.011,2.013e-05,1.034e-06,0.08
225,219,218,0.045,4.373999999999999e-05,4.499999999999999e-06,0.118
226,249,247,0.017,1.7000000000000003e-08,1.7000000000000003e-08,1.0
227,229,227,0.011,3.388e-05,1.1e-06,0.059
228,209,207,0.013,2.4959999999999998e-05,1.222e-06,0.077
229,209,193,0.013,4.1599999999999995e-05,1.1699999999999998e-06,0.058
230,201,202,0.0,0.0,0.0,0.016
231,216,217,0.0,0.0,0.0,0.025
232,218,220,0.016,2.928e-05,1.5040000000000001e-06,0.079
233,218,222,0.025,2.43e-05,2.5000000000000006e-06,0.118
